247,DISSAUX MORGAN,51700;Binson et Orquigny
248,PRESSOIRS DAYE-DECOTTE,51500;Mailly-champagne
249,CONART Olivier Octave Paul,51700;CHATILLON SUR MARNE
250,MEUNIER Céline Paulette Marie Thérèse,51700;DORMANS
251,PRESSOIR REMUE-GASPARD,51190;Grauves
252,SOCIETE COOPERATIVE VINICOLE CL. DE LA CHAPELLE VILLEDOMMANGE (MARNE) - SOCIETE COOPERATIVE AGRICOLE,51390;Ville Dommange
253,SOCIETE COOPERATIVE VINICOLE L'ACCUEILLANTE DE SOILLY ET COURTHIEZY - SOCIETE COOPERATIVE AGRICOLE,51700;Soilly
254,DEGORGEMENT CHAMPENOIS,51480;Venteuil
255,Pressoirs FRESNET-HANOTIN,51380;Verzy
256,ROSAY PRESTATIONS,51120;Fontaine Denis Nuisy
257,SARL DAVID FRANCOIS ET FILS,51160;Saint-Imoges
258,SARL PRESSOIR THOMINET,51260;Baudement
259,SOCIETE COOPERATIVE AGRICOLE DE LA CROLIERE,51130;Gionges
260,LES PRESSOIRS DE LA LIBERTE,51530;Vinay
261,HOTTE Thierry Marcel Christian,51220;Saint-Thierry
262,SARL CHAMPAGNISATION ANTOINE ANDRADE,51500;Ecueil
263,SARL "PRESSOIR DEGUERNE PERSEVAL",51500;Chamery
264,GERALD MOUSSY ET FILS,51700;Igny-Comblizy
265,S.A.R.L. Champagne ARNOULD & GIBELIN,51360;Verzenay
266,"PRESSOIRS CAZALS",51190;Le Mesnil-sur-Oger
267,VAUTRAIN PRESTATIONS,51530;Dizy
268,COOPERATIVE GENERALE DES VIGNERONS,51160;Ay-Champagne
269,COOPERATIVE VINICOLE LES COTEAUX DE CHAMPAGNE D'OGER,51190;Oger
270,SOCIETE COOPERATIVE VINICOLE DE CHAVOT COURCOURT - SOCIETE COOPERATIVE AGRICOLE,51530;Chavot-Courcourt
271,COOPERATIVE VINICOLE CHAMPENOISE DE VINAY,51530;Vinay
272,COOPERATIVE REGIONALE DES VINS DE CHAMPAGNE CRVC - COOPERATIVE VINICOLE CHAMPAGNE & TERROIRS,51100;Reims
273,SOCIETE COOPERATIVE AGRICOLE DE PRODUCTEURS DES GRANDS TERROIRS DE LA CHAMPAGNE.,51100;Reims
